iteration,loss,running_min,v0,v1,v2,v3,v4,v5,v6,v7,delta_nm,gp_max_std,gp_max_var,xi
1,1.1972000000000078,1.1972000000000078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.05
2,3.189641733339331,1.1972000000000078,0.5930859737204661,-0.6331304202676724,0.559382000545539,0.1937003158929742,-0.1083344942928175,-0.8000501683639942,-0.08150221606826547,-0.3325827777219562,0.0,nan,nan,0.05
3,3.189641733339331,1.1972000000000078,0.5930859737204661,-0.6331304202676724,0.559382000545539,0.1937003158929742,-0.1083344942928175,-0.8000501683639942,-0.08150221606826547,-0.3325827777219562,0.0,nan,nan,0.035355339059327376
4,3.189641733339331,1.1972000000000078,0.5930859737204661,-0.6331304202676724,0.559382000545539,0.1937003158929742,-0.1083344942928175,-0.8000501683639942,-0.08150221606826547,-0.3325827777219562,0.0,nan,nan,0.02886751345948129
5,3.189641733339331,1.1972000000000078,0.5930859737204661,-0.6331304202676724,0.559382000545539,0.1937003158929742,-0.1083344942928175,-0.8000501683639942,-0.08150221606826547,-0.3325827777219562,0.0,nan,nan,0.07500000000000001
6,3.189641733339331,1.1972000000000078,0.5930859737204661,-0.6331304202676724,0.559382000545539,0.1937003158929742,-0.1083344942928175,-0.8000501683639942,-0.08150221606826547,-0.3325827777219562,0.0,nan,nan,0.0670820393249937
7,3.189641733339331,1.1972000000000078,0.5930859737204661,-0.6331304202676724,0.559382000545539,0.1937003158929742,-0.1083344942928175,-0.8000501683639942,-0.08150221606826547,-0.3325827777219562,0.0,nan,nan,0.06123724356957946
8,3.189641733339331,1.1972000000000078,0.5930859737204661,-0.6331304202676724,0.559382000545539,0.1937003158929742,-0.1083344942928175,-0.8000501683639942,-0.08150221606826547,-0.3325827777219562,0.0,nan,nan,0.056694670951384085
9,3.189641733339331,1.1972000000000078,0.5930859737204661,-0.6331304202676724,0.559382000545539,0.1937003158929742,-0.1083344942928175,-0.8000501683639942,-0.08150221606826547,-0.3325827777219562,0.0,nan,nan,0.053033008588991064
10,3.189641733339331,1.1972000000000078,0.5930859737204661,-0.6331304202676724,0.559382000545539,0.1937003158929742,-0.1083344942928175,-0.8000501683639942,-0.08150221606826547,-0.3325827777219562,0.0,nan,nan,0.05
11,3.189641733339331,1.1972000000000078,0.5930859737204661,-0.6331304202676724,0.559382000545539,0.1937003158929742,-0.1083344942928175,-0.8000501683639942,-0.08150221606826547,-0.3325827777219562,0.0,1.2757831947700011,1.6276227600575506,0.04743416490252569
