iter,loss,x0,x1,x2,x3,x4,x5,x6,x7
1,1.1972000000000078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.325231293535777,-0.8159358342298069,0.2719574705462853,0.46825125620954045,-0.4407201591587352,-0.4673898167578613,-0.6381654371210992,0.7987505278036608,-0.4475618542093175
3,2.5417565685329997,-0.8981450461617817,-0.987534712534327,-0.9502814598227609,0.9846400890455524,-0.9970462927382033,0.47880106741065775,-0.702935463639371,0.8971663488825574
4,1.1022007111893704,-0.037777628508438355,0.006219595674807232,0.007536072150701401,-0.01232492943447161,0.0058546879357024295,0.007566906897259473,0.047019921987260016,0.05191815180754267
5,1.375634499037249,0.0794533764532237,-0.013197720512015065,0.05943034633203381,0.021971677555519875,0.0007553862736815464,0.30964551960969167,0.14183913797344672,-0.26225951993593166
6,1.2880097525928755,0.003864688484743306,0.029192001740485418,-0.004838753491869352,0.004140763045770823,0.00930009026447376,-0.05857234977362813,-0.0662317730447981,-0.009280894038586784
7,0.7967253852776068,-0.027967557958756606,-0.21127999158692812,0.035022532509593196,-0.02997224768260487,-0.0673115340091609,0.42393498754754355,0.47936399323906675,0.06717022102416959
8,1.1193472171620815,-0.004035904326354589,-0.024022918379904112,0.004075503991816332,-0.0030003977040207186,-0.006865118709835971,0.05400719566158618,0.06517937301018106,0.009240144808459139
9,1.1220837634335057,-0.003490397259233058,-0.026102378079017052,0.004602795809989457,-0.003323531050461903,-0.007793937186639899,0.057158470274679685,0.058072387248638835,0.008554005733543146
10,0.8001768858331105,-0.02743061598270824,-0.2072091556326151,0.03433939012878051,-0.029390809145663943,-0.06600281134065367,0.4157326297700292,0.47009655168916575,0.06587326971700103
11,0.8009423800605465,-0.027315575218403443,-0.20633525421257704,0.034199304857831514,-0.029263546564509024,-0.06572925606719482,0.4139947962947752,0.4681155464414206,0.06559661735115019
12,0.7895793420443706,-0.04774993841753972,-0.3615471914257219,0.06065278740977398,-0.05188062190786025,-0.11525822726920842,0.7307744864822769,0.825107556593135,0.11477987130103662
13,0.8020610392268559,-0.027141543584697336,-0.2050691930668418,0.033992807324664476,-0.029092390954292502,-0.0653259647800567,0.4114871186976752,0.4652857713524452,0.06519436944185086
14,1.1369522787646729,-0.0017828538156832163,-0.02068776789088489,0.0026998080651308154,-0.0034481943397690618,-0.006746845589228334,0.04291118211453271,0.04892199974077771,0.006510549190976267
15,0.7879326815654977,-0.047986765586938596,-0.3635404605701644,0.060103279189843484,-0.05161577201827994,-0.11569761143677582,0.7301349698480892,0.8244079359661214,0.11564003558267166
16,0.7788483351123082,-0.04797418651695984,-0.36521644511754403,0.0604369420093569,-0.05156342524595736,-0.11592493478724619,0.6935572008347755,0.8273887663080985,0.1143982348646233
17,0.8032344894259663,-0.026975504142678908,-0.20375128277410381,0.033773957978301405,-0.028902053633553138,-0.06491211553753506,0.40881282844658084,0.46229655349609877,0.06478115510054505
18,0.803401523796359,-0.0269510577805544,-0.20357338087267762,0.03374318616827221,-0.02887701930111264,-0.06485145528554337,0.4084599151643027,0.4618590182587077,0.06472118396442439
19,0.8035361273974072,-0.026930573654928347,-0.2034271084638246,0.03371952245489784,-0.028855637559320968,-0.0648079021581287,0.4081588959052993,0.4615377914250973,0.06467275075206302
20,0.7900289261244248,-0.048516953680497577,-0.3631775990236913,0.06014802208219483,-0.05007510564221973,-0.11673299474470078,0.7354952061992195,0.8240503515696043,0.11518349191322996
21,0.7877140625930101,-0.04810442346649724,-0.36340976096142974,0.06024374570519453,-0.05155305715266012,-0.11575431550844295,0.7290797819227413,0.8244972655117013,0.11556530069439863
22,0.8037977664348201,-0.026890352710483012,-0.2031340038797732,0.033671197084669924,-0.02881491951678694,-0.06471698592770059,0.4075857048626159,0.46088951882482965,0.06458507101539812
23,1.1372054370957816,-0.002706829922457299,-0.021866237116724085,0.0035979631219469344,-0.0023832129158424253,-0.0059087357585826394,0.051691573216348985,0.041310765741332744,0.006121695676285954
24,0.8562191416677116,-0.05524822351887726,-0.42529674909531456,0.07058985943496743,-0.060375936121420115,-0.13093122125629564,0.8809298349769423,0.9413176316939458,0.13254718984820757
25,0.7896846424044794,-0.0347873893377737,-0.28610315393678876,0.04700768255283627,-0.028094565970930074,-0.07133543740749104,0.6666337914337719,0.5362872174877791,0.07902167882122302
26,2.087191278248862,-0.4118289667549976,0.19439011949806506,0.03608522831496197,0.7864846088353605,-0.6951898390510075,-0.35416638031570347,0.1208229924856028,-0.01822588756852961
27,0.7771043976110361,-0.05122275007384747,-0.2545566817121194,0.018648696250196606,-0.2073618894036251,-0.2361205278883346,0.4076020104735898,0.50621420937136,0.096061137155256
28,0.743768047256071,-0.047965462817876725,-0.3386224822902272,0.02158504808663353,-0.04750545084772784,-0.1850157252418192,0.38569018825704293,0.5553211296111369,0.09556832575892038
29,3.0959695049364266,-0.4092402548072137,-0.491155377717017,0.03738302640778568,0.9202514018469521,-0.8367554320442951,-0.9054586346312659,-0.5182411782014984,-0.01055668603965687
30,2.4010932793334665,-0.41201473545985423,0.8911141392756836,0.015093773140051558,-0.06840292413070503,-0.4922610650100615,0.9602647569583218,-0.29583033948852644,-0.008082988044109451
31,1.0514400981539564,0.08212306335057251,-0.34890604563032646,0.048621708855933754,-0.06232063283341094,0.02941727823169038,-0.22429116321269382,0.8351149249322918,0.07189110556230305
32,5.933307166653374,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0
33,1.048220348301682,0.13096882027708667,-0.3864373903837204,-0.05836984533351075,-0.1953033738202069,0.39557873839383695,-0.15779441618092216,0.15396466360557026,0.10363755736598579
34,5.636251457889771,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0
35,3.874165823669158,0.027975102192473678,0.712471905961271,0.19346359864692309,-1.0,-1.0,-1.0,0.8202785740226459,-0.1863759042334051
36,2.9466884722536286,0.03248518054862015,0.3369294970717003,0.19502421986415985,0.5170468039200644,-1.0,-1.0,1.0,0.8726711948424095
37,2.6311860237657436,-0.12013496784644695,-1.0,-0.0005451748154323699,-0.44764199382329883,1.0,1.0,1.0,-1.0
38,2.3627284918661333,-0.16687316337515046,-1.0,-0.03802331639055567,-0.521577956300407,1.0,-0.385367453568328,1.0,-0.7324896766069071
39,4.5163513244629545,-0.8139986260516835,1.0,0.28087118324871563,1.0,-1.0,1.0,-1.0,1.0
40,4.523430923512315,-0.8384538414226613,1.0,0.2889468397607686,1.0,-1.0,1.0,-1.0,1.0
41,0.7811146399756399,0.04144364234596987,-0.3791093211201315,0.047851824334951276,-0.01692799092660069,-0.12358757964823275,0.6007972001065351,0.7629103300186171,0.1687602219947213
42,0.7855371458410783,0.033608610858003596,-0.36850166557221,0.04796233075476253,-0.019380525676327198,-0.11675668573735254,0.6150726078421833,0.7315371539219115,0.14838018412033427
43,0.7724100137204375,0.0076736377212542894,-0.3427534131745399,0.048131493322780994,-0.021605069139348676,-0.0910349385761603,0.6195179002805304,0.6515441113745581,0.12379728420131464
44,2.753602707576142,0.8079808363324872,-1.0,0.04698101533434529,-1.0,-1.0,1.0,1.0,1.0
