iteration,loss,running_min,v0,v1,v2,v3,v4,v5,v6,v7,delta_nm,gp_max_std,gp_max_var,xi
1,1.1972000000000078,1.1972000000000078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.05
2,3.8147313133801886,1.1972000000000078,-0.2509197623052749,0.9014286128198328,0.4639878836228104,0.19731696839407342,-0.687962719115127,-0.6880109593275947,-0.8838327756636011,0.7323522915498708,0.0,nan,nan,0.05
3,4.0657713844042584,1.1972000000000078,-0.956353206449021,-0.6509082329930069,0.9201165515295473,0.9967630301940256,-0.8853304795549792,-0.9885768936393908,-0.761398553494097,0.7772189333268211,0.0,1.434282843452956,2.0571672750234966,0.035355339059327376
4,1.6069895100963045,1.1972000000000078,0.35497380578176285,-0.036863618358022765,0.11649433237627971,-0.2775201523290308,0.044526646934273106,-0.021629998602030853,-0.020913644598557823,-0.031273536917774236,0.0,1.269944726495903,1.6127596083547537,0.02886751345948129
5,3.0961063460544254,1.1972000000000078,0.6525435337921937,1.0,-0.47280231330220146,-0.7284018936225142,0.29821484225437156,0.3868468873324806,0.044407824545801944,-0.17130071828080373,0.0,1.2943148542124494,1.6752509418349941,0.07500000000000001
6,1.3497630598144523,1.1972000000000078,-1.0,0.12676735619809976,-0.3727568282981224,0.8560564667628456,-0.13165560801308052,0.07624049023296964,0.0704620399056981,0.09171723329630677,0.0,1.1064797022372108,1.2242973314629466,0.0670820393249937
7,1.1168132153383865,1.1168132153383865,-0.8428465590796993,-0.14569090183886246,-0.12752090885758194,0.7066752594539862,-0.15175782725792253,-0.040553195644356,0.033400989841917195,0.09772336448833485,0.0,1.1685545485699853,1.3655197329836022,0.06123724356957946
8,3.4323061204967007,1.1168132153383865,0.3513332490137546,-1.0,1.0,-0.7701087572553124,-0.2614502972223136,-0.8235822766039973,-0.25463712023972873,0.08222253911465849,0.0,0.985145078549263,0.9705108257898336,0.04898979485566357
9,2.0353594263544856,1.1168132153383865,-0.12259484259183706,-1.0,0.8071482618181876,0.04355793282130782,-0.19816641656231715,-0.4662757396687687,-0.10065339709638021,0.09817886068478421,0.0,1.0692299041514868,1.1432525879317976,0.017677669529663688
10,2.176835694213553,1.1168132153383865,-0.5448831431084442,-1.0,0.7884873342002117,0.1718356414758997,0.3638929045222634,-0.03468732792751106,0.8850161220763619,-0.6682365404538988,0.0,0.9944016920436141,0.9888347251392027,0.016666666666666666
11,2.4200498434392848,1.1168132153383865,-0.6552510874971962,-1.0,1.0,1.0,0.04238976098898628,-0.13275183656282774,0.535841088988741,-0.1641998819374969,0.0,1.043716229909185,1.0893435685758426,0.04743416490252569
