iteration,loss,running_min,v0,v1,v2,v3,v4,v5,v6,v7,delta_nm,gp_max_std,gp_max_var,xi
1,1.1972000000000078,1.1972000000000078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.05
2,3.8147313133801886,1.1972000000000078,-0.2509197623052749,0.9014286128198328,0.4639878836228104,0.19731696839407342,-0.687962719115127,-0.6880109593275947,-0.8838327756636011,0.7323522915498708,0.0,nan,nan,0.05
3,4.0657713844042584,1.1972000000000078,-0.956353206449021,-0.6509082329930069,0.9201165515295473,0.9967630301940256,-0.8853304795549792,-0.9885768936393908,-0.761398553494097,0.7772189333268211,0.0,1.434282843452956,2.0571672750234966,0.035355339059327376
4,1.6069895100963045,1.1972000000000078,0.35497380578176285,-0.036863618358022765,0.11649433237627971,-0.2775201523290308,0.044526646934273106,-0.021629998602030853,-0.020913644598557823,-0.031273536917774236,0.0,1.269944726495903,1.6127596083547537,0.02886751345948129
5,3.0961063460544254,1.1972000000000078,0.6525435337921937,1.0,-0.47280231330220146,-0.7284018936225142,0.29821484225437156,0.3868468873324806,0.044407824545801944,-0.17130071828080373,0.0,1.2943148542124494,1.6752509418349941,0.07500000000000001
6,1.3497630598144523,1.1972000000000078,-1.0,0.12676735619809976,-0.3727568282981224,0.8560564667628456,-0.13165560801308052,0.07624049023296964,0.0704620399056981,0.09171723329630677,0.0,1.1064797022372108,1.2242973314629466,0.0670820393249937
7,1.1168132153383865,1.1168132153383865,-0.8428465590796993,-0.14569090183886246,-0.12752090885758194,0.7066752594539862,-0.15175782725792253,-0.040553195644356,0.033400989841917195,0.09772336448833485,0.0,1.1685545485699853,1.3655197329836022,0.06123724356957946
8,3.4323061204967007,1.1168132153383865,0.3513332490137546,-1.0,1.0,-0.7701087572553124,-0.2614502972223136,-0.8235822766039973,-0.25463712023972873,0.08222253911465849,0.0,0.985145078549263,0.9705108257898336,0.04898979485566357
9,2.0353594263544856,1.1168132153383865,-0.12259484259183706,-1.0,0.8071482618181876,0.04355793282130782,-0.19816641656231715,-0.4662757396687687,-0.10065339709638021,0.09817886068478421,0.0,1.0692299041514868,1.1432525879317976,0.017677669529663688
10,2.176835694213553,1.1168132153383865,-0.5448831431084442,-1.0,0.7884873342002117,0.1718356414758997,0.3638929045222634,-0.03468732792751106,0.8850161220763619,-0.6682365404538988,0.0,0.9944016920436141,0.9888347251392027,0.016666666666666666
11,2.4200498434392848,1.1168132153383865,-0.6552510874971962,-1.0,1.0,1.0,0.04238976098898628,-0.13275183656282774,0.535841088988741,-0.1641998819374969,0.0,1.043716229909185,1.0893435685758426,0.04743416490252569
12,3.307258955315134,1.1168132153383865,-0.3515894271010096,-1.0,1.0,1.0,-0.10576840541754973,-0.040818568746811446,-0.999233694554968,0.597855873193397,0.0,0.9605815651154924,0.922716943239729,0.045226701686664546
13,2.2876653790379957,1.1168132153383865,0.41110914767962403,-1.0,0.6983766103602593,0.5085129508373154,-0.05404015435314635,0.004465310309217152,-0.06794109855574448,0.060591819392430635,0.0,0.9064081669853881,0.8215757651778112,0.04330127018922193
14,2.087103061618293,1.1168132153383865,0.21877425842653642,-0.8354100818316995,0.41662441616263357,0.4348670083199693,-0.7548065911886878,-0.08124692437768688,0.03769302227393401,0.0521730089171244,0.0,0.9071929258527163,0.822999004717212,0.04160251471689219
15,2.182885436131641,1.1168132153383865,-0.7568728768635317,-0.05632515317040199,0.2737805766213057,-1.0,-0.20578808084512734,-0.9713003095578698,0.03715132923156661,0.03305077286868596,0.0,0.9269194040054534,0.8591795815218248,0.04008918628686366
16,1.4366457828865302,1.1168132153383865,-1.0,-0.8004468388600342,-0.10962396337566016,1.0,-0.21851845232153988,0.05719497857386924,0.522166394098954,-0.19219554439863507,0.0,0.9077152095754756,0.8239469016946496,0.03872983346207417
17,1.199502506904757,1.1168132153383865,-0.5005077784646084,0.04602362581224462,-0.04972205842170807,-0.3357303713069347,0.8007292318279278,-0.15035989482131396,-0.017590853735410805,-0.0336059125812207,0.0,0.9583407758234003,0.9184170426057967,0.037500000000000006
18,1.5908672589375796,1.1168132153383865,-0.40555313963422257,-0.1576988406182328,-0.2452629209255902,-1.0,1.0,-0.013288278750339,0.15018638697658893,-0.24653498096725812,0.0,0.9290608693862525,0.8631540990247394,0.03638034375544995
19,2.2143167489542384,1.1168132153383865,-0.3695177361297497,0.7099348811022816,-0.22582656786582045,-0.7037676877765455,1.0,-0.048571564693803304,0.16077360941933794,-0.2964475919365609,0.0,1.296571768030259,1.681098349653112,0.03535533905932738
20,0.933048978645985,0.933048978645985,-0.37791729130366614,-0.2936055225484878,-0.14916852405907433,0.010807223079862815,0.062205970373530706,-0.25635801936816127,0.09397598166673293,-0.082685824890399,0.0,1.080405614103484,1.1672762909863261,0.034412360080584264
21,1.4305613622982014,0.933048978645985,-0.5244585583931332,-0.20469192132178982,0.07652356717567765,1.0,-0.3150309671416429,0.22185742946345743,-0.08583534380941338,0.36610984305446714,0.0,1.3062939055223806,1.7064037676049142,0.027529888064467413
22,1.0885712676273809,0.933048978645985,-1.0,-0.5186518351497935,-0.416724053818755,0.19437662356314633,1.0,1.0,0.05387350800546287,-0.028828400290099587,0.0,1.4153417672011706,2.0031923179841327,0.010910894511799621
23,0.49492589284350785,0.49492589284350785,-1.0,-0.9909878754529208,-0.24849022587867842,-0.05403498784214755,0.4730926387095902,0.43118969957865794,-0.009371073073858871,0.2438377441098485,0.0,1.8788866570817353,3.5302150701597785,0.010660035817780522
24,0.453116354100223,0.453116354100223,-0.8841484535519243,-0.8578442477450832,-0.13849870048280477,-0.043765933089570996,0.41403771230568465,0.19813958144721977,0.021426649978825374,0.23567080167063348,0.0,1.985597218129878,3.9425963126451102,0.008528028654224418
25,2.0647465822732656,0.453116354100223,-1.0,-1.0,-0.10147573114100261,-0.26691031729646,0.09689865581390089,0.468222315550366,-0.16207356833182018,-1.0,0.0,2.0816017519337153,4.333065853653513,0.006822422923379534
26,0.3399715596798526,0.3399715596798526,-1.0,-1.0,0.024071698864003732,-0.33503145858732586,0.23628958468494576,0.3780952151715722,0.10670665753461162,1.0,0.0,2.0435112720304884,4.175938318915665,0.01
27,0.3618385428485996,0.3399715596798526,-0.7976207232594611,-1.0,-0.38675757178547476,-0.3159496800944145,0.7701401441100415,0.3050116590197782,1.0,1.0,0.0,2.4573022646127183,6.038334419670794,0.008
28,0.4117032454463944,0.3399715596798526,-0.7938966952537935,-1.0,-0.5723607360255527,-0.18163791142153962,0.8362737990080267,0.042324117161908426,0.8223480229326969,1.0,0.0,2.502769804349534,6.263856693563804,0.009622504486493762
29,0.2267805054074539,0.2267805054074539,-0.6831623195194143,-1.0,-0.43554890143354186,-0.09338627246607756,0.5548287424533302,0.18253511461220007,0.3531506917743559,0.9808878140590334,0.0,2.624542219206256,6.8882218603961,0.00944911182523068
30,0.07391006934805534,0.07391006934805534,-0.7528773840955583,-0.8803688532303797,-0.18534728243164733,-0.22052989528308342,0.28124076144825105,0.4457687118349347,0.5000356695327515,0.7959883497851126,0.0,2.7368097456445932,7.490127583855223,0.007559289460184544
31,1.3817051035766845,0.07391006934805534,-1.0,-1.0,-1.0,-0.6612894699424399,-0.9920398482189107,1.0,1.0,1.0,0.0,2.7494217293540526,7.55931984584423,0.0060474315681476355
32,1.3524769721575012,0.07391006934805534,-1.0,-1.0,-1.0,-0.5627767632370639,-1.0,1.0,1.0,1.0,0.0,2.783731217257197,7.749159489932236,0.008980265101338746
33,0.30744858138378073,0.07391006934805534,-0.6315597941467858,-0.5126074395254553,-0.012936090488550822,-0.08400929038852167,0.3317625818858774,1.0,0.621747586236459,1.0,0.0,3.1060478350418563,9.647533153568203,0.008838834764831844
34,0.3231860238326794,0.07391006934805534,-0.5789408912508758,-0.4845764026972005,-0.0027217646392596606,-0.18316834233978518,0.37052217293848244,1.0,0.5955656000831611,1.0,0.0,2.904096628181856,8.433777225817224,0.02611164839335468
35,0.20922184142673841,0.07391006934805534,-0.40157056713550254,-1.0,-0.11107009898014064,-0.2445734277184548,0.2217479248819716,0.39357784805824547,0.6342531490727141,0.7907360512202408,0.0,2.9245323869620194,8.552889682389766,0.02572478777137633
36,0.15633769277113743,0.07391006934805534,-0.580440871861525,-0.6850384477923988,-0.08600304370182743,-0.10114283415760783,0.1066168755137582,0.11282458103715864,0.816366046242873,0.8708600138833325,0.0,3.1539337784265244,9.947298278699813,0.025354627641855497
37,0.04843199310317457,0.04843199310317457,-0.8395850220940615,-0.5226281718037576,-0.17324747662173756,-0.1497975208182143,0.18625602189543788,0.2421580767238276,0.6928237554125931,0.8383582255436022,0.0,3.082939258235668,9.504514469970692,0.025
38,0.00907852670599486,0.00907852670599486,-0.8071649132296237,-0.6147271983577709,-0.2787998775654822,-0.17024947321944128,0.22023288722430845,0.37658785985981624,0.5739898599081852,0.7760655936439047,0.0,3.1421681358356035,9.87322059386059,0.020000000000000004
39,0.0030530761488545767,0.0030530761488545767,-0.7837808497554535,-0.5935076027458879,-0.3441494675511021,-0.1708755051227464,0.20402777859020937,0.3895615030189967,0.5583218384586404,0.7990958514455926,0.0,3.108233193898293,9.661113587651181,0.016000000000000004
40,0.015272675663114745,0.0030530761488545767,-0.7761073013027404,-0.6199695053496084,-0.480083289164425,-0.2171687139538362,0.16281984849198872,0.39555038331013215,0.5849943499338752,0.9447209806233112,0.0,3.0249497692915117,9.15032110673677,0.012800000000000004
41,0.019585008075834152,0.0030530761488545767,-0.9118919671334911,-0.7057615968828528,-0.4642317778374282,-0.242497229649007,0.14428103782521018,0.3266355590037995,0.6322689965981994,0.8141750351170851,0.0,3.0509778614495797,9.308465911055452,0.007905694150420948
